City,ILR,ILR_ref_for_city,PAC_MW,PDC_MWp,AC_energy_MWh,AC_energy_MWh_ILR_1_0,AC_energy_delta_MWh,DC_energy_MWh,clipping_energy_MWh,energy_increase_percentage,energy_loss_to_inverter
Amsterdam,1.0,1.0,50.05,50.09,43289.70946939843,43289.70946939843,0.0,44143.7171235814,-0.0,0.0,-0.0
Amsterdam,1.05,1.0,50.05,52.46,45340.81136098352,43289.70946939843,2051.1018915850873,46225.96793129748,-0.0,4.7380819061283255,-0.0
Amsterdam,1.1,1.0,50.05,54.82,47391.195372095484,43289.70946939843,4101.485902697052,48308.21873901357,-0.0,9.47450549557603,-0.0
Amsterdam,1.14,1.0,50.05,57.18,49440.86006964305,43289.70946939843,6151.1506002446185,50390.46954672969,-0.0,14.209267457876743,-0.0
Amsterdam,1.19,1.0,50.05,59.54,51487.159193354855,43289.70946939843,8197.449723956423,52472.72035444577,-3.3126107540484098,18.936254884665406,-0.006434272056058689
Amsterdam,1.24,1.0,50.05,61.91,53524.08197614646,43289.70946939843,10234.372506748026,54554.971162161884,-15.742461775282635,23.64158279690632,-0.029420576153469595
Amsterdam,1.28,1.0,50.05,64.27,55538.673881139424,43289.70946939843,12248.964411740992,56637.22196987799,-52.732210104556266,28.29532598364931,-0.09503706437424289
Amsterdam,1.33,1.0,50.05,66.63,57512.90587347241,43289.70946939843,14223.196404073977,58719.47277759411,-130.54798103163105,32.85583705321095,-0.22750543168047246
Amsterdam,1.38,1.0,50.05,69.0,59442.52520780858,43289.70946939843,16152.81573841015,60801.7235853102,-253.72922494728138,37.313292088108376,-0.4286777940554006
Amsterdam,1.43,1.0,50.05,71.36,61323.34005177841,43289.70946939843,18033.630582379978,62883.974393026314,-426.11980442301433,41.6580078808983,-0.6997360514850751
Amsterdam,1.47,1.0,50.05,73.72,63153.57604614727,43289.70946939843,19863.866576748835,64966.22520074244,-649.0341066199269,45.88588563014181,-1.0383791105098608
Amsterdam,1.52,1.0,50.05,76.08,64937.91527469419,43289.70946939843,21648.20580529576,67048.4760084585,-917.2739179795104,50.0077410327711,-1.4327783954374644
Amsterdam,1.57,1.0,50.05,78.45,66681.42405443873,43289.70946939843,23391.714585040296,69130.7268161746,-1226.116046173212,54.03527737134836,-1.8732110251751952
Amsterdam,1.61,1.0,50.05,80.81,68384.4955901323,43289.70946939843,25094.786120733865,71212.97762389077,-1575.4686339584744,57.969402955853546,-2.358167310222867
Amsterdam,1.66,1.0,50.05,83.17,70047.29897507258,43289.70946939843,26757.58950567415,73295.22843160685,-1964.9838133070375,61.8105083948164,-2.886188298147881
Amsterdam,1.71,1.0,50.05,85.54,71669.7782537443,43289.70946939843,28380.068784345865,75377.47923932291,-2395.3413542648736,65.55846442999989,-3.4577565137637
Amsterdam,1.76,1.0,50.05,87.9,73251.97892925727,43289.70946939843,29962.269459858835,77459.73004703905,-2865.7177087668656,69.21337617439825,-4.071416294992262
Amsterdam,1.8,1.0,50.05,90.26,74794.11758788639,43289.70946939843,31504.408118487954,79541.98085475511,-3376.744428688985,72.77574394616455,-4.7281834647738155
Amsterdam,1.85,1.0,50.05,92.62,76294.1868461322,43289.70946939843,33004.47737673377,81624.23166247125,-3929.6976543221026,76.24093065365727,-5.430422708997507
Amsterdam,1.9,1.0,50.05,94.99,77754.7273503402,43289.70946939843,34465.01788094176,83706.48247018733,-4522.026763130252,79.61480523519138,-6.174873692859583
Amsterdam,1.95,1.0,50.05,97.35,79179.488808629,43289.70946939843,35889.77933923057,85788.73327790346,-5149.7956327707625,82.90602958331498,-6.956391971715152
Amsterdam,1.99,1.0,50.05,99.71,80568.46011989392,43289.70946939843,37278.75065049549,87870.98408561955,-5813.8850077737425,86.11457805427845,-7.777296572221598
