Country,City,Latitude (°),Longitude (°),Yearly AC Energy output ILR 1.0 (MWh)
Austria,Vienna,48.2082,16.3738,58794
Belgium,Brussels,50.8503,4.3517,52376
Bulgaria,Sofia,42.6977,23.3219,65564
Croatia,Zagreb,45.815,15.9819,61728
Cyprus,Nicosia,35.1856,33.3823,81573
Czech Republic,Prague,50.0755,14.4378,54683
Denmark,Copenhagen,55.6761,12.5683,52559
Estonia,Tallinn,59.437,24.7536,47502
Finland,Helsinki,60.1699,24.9384,48534
France,Paris,48.8534,2.3488,56465
Germany,Berlin,52.5228,13.4082,52547
Greece,Athens,37.9838,23.7275,78729
Hungary,Budapest,47.4979,19.0402,62506
Ireland,Dublin,53.3498,-6.2603,49353
Italy,Rome,41.8931,12.4828,75144
Latvia,Riga,56.9496,24.1052,49034
Lithuania,Vilnius,54.6872,25.2797,48936
Luxembourg,Luxembourg,49.6116,6.1319,53227
Malta,Valletta,35.8989,14.5146,84241
Netherlands,Amsterdam,52.3676,4.9041,51257
Poland,Warsaw,52.2297,21.0122,52543
Portugal,Lisbon,38.7223,-9.1393,78926
Romania,Bucharest,44.4268,26.1025,64881
Slovakia,Bratislava,48.1486,17.1077,60307
Slovenia,Ljubljana,46.0569,14.5058,58518
Spain,Madrid,40.4165,-3.7026,80855
Sweden,Stockholm,59.3293,18.0686,49457
United Kingdom,London,51.5074,-0.1278,51243
