country;city;latitude;longitude;MRP;RRF;CRP;levered beta;DP;Ti;spread;Re;Rd;WACC;DR
Austria;Vienna;48,2082;16,3738;0,057;0,034;0,0053;0,769;0,0083;0,23;0,005;0,077833;0,0476;0,05518345;0,06018345
Belgium;Brussels;50,8503;4,3517;0,057;0,034;0,008;0,769;0,0045;0,25;0,005;0,077833;0,0465;0,0542061;0,0592061
Bulgaria;Sofia;42,6977;23,3219;0,068;0,041;0,0213;0,769;0,0045;0,1;0,005;0,093292;0,0668;0,0750474;0,0800474
Croatia;Zagreb;45,815;15,9819;0,062;0,031;0,016;0,769;0,0045;0,18;0,005;0,078678;0,0515;0,0586316;0,0636316
Cyprus;Nicosia;35,1856;33,3823;0,078;0,036;0,016;0,769;0,0045;0,125;0,005;0,095982;0,0565;0,070382525;0,075382525
Czech Republic;Prague;50,0755;14,4378;0,063;0,046;0,008;0,769;0,0045;0,21;0,005;0,094447;0,0585;0,0679194;0,0729194
Denmark;Copenhagen;55,6761;12,5683;0,051;0,024;0;0,769;0,0045;0,22;0,005;0,063219;0,0285;0,04067505;0,04567505
Estonia;Tallinn;59,437;24,7536;0,063;0,023;0,0094;0,769;0,0045;0,22;0,005;0,071447;0,0369;0,04798125;0,05298125
Finland;Helsinki;60,1699;24,9384;0,057;0,033;0,0053;0,769;0,0045;0,2;0,005;0,076833;0,0428;0,05340685;0,05840685
France;Paris;48,8566;2,3522;0,051;0,033;0,008;0,769;0,0045;0,3613;0,005;0,072219;0,0455;0,048482018;0,053482018
Germany;Berlin;52,52;13,405;0,054;0,027;0;0,769;0;0,3006;0,005;0,068526;0,027;0,04122279;0,04622279
Greece;Athens;37,9838;23,7275;0,074;0,035;0,0334;0,769;0;0,22;0,005;0,091906;0,0684;0,0707013;0,0757013
Hungary;Budapest;47,4979;19,0402;0,063;0,043;0,0254;0,769;0,0045;0,09;0,005;0,091447;0,0729;0,0776376;0,0826376
Ireland;Dublin;53,3498;-6,2603;0,047;0,025;0,008;0,769;0,0045;0,125;0,005;0,061143;0,0375;0,045561225;0,050561225
Italy;Rome;41,9028;12,4964;0,06;0,034;0,0293;0,769;0,0045;0,24;0,005;0,08014;0,0678;0,0644034;0,0694034
Latvia;Riga;56,9496;24,1052;0,07;0,023;0,016;0,769;0,0045;0,2;0,005;0,07683;0,0435;0,0537135;0,0587135
Lithuania;Vilnius;54,6872;25,2797;0,058;0,035;0,0113;0,769;0,0045;0,16;0,005;0,079602;0,0508;0,0592905;0,0642905
Luxembourg;Luxembourg;49,6116;6,1319;0,047;0,025;0;0,769;0,0045;0,2387;0,005;0,061143;0,0295;0,039866443;0,044866443
Malta;Valletta;35,8989;14,5146;0,062;0,037;0,0113;0,769;0,0045;0,35;0,005;0,084678;0,0528;0,0569811;0,0619811
Netherlands;Amsterdam;52,3676;4,9041;0,053;0,028;0;0,769;0,0045;0,258;0,005;0,068757;0,0325;0,0442039;0,0492039
Poland;Warsaw;52,2297;21,0122;0,055;0,054;0,0113;0,769;0,0045;0,19;0,005;0,096295;0,0698;0,07442865;0,07942865
Portugal;Lisbon;38,7223;-9,1393;0,056;0,032;0,016;0,769;0,0045;0,305;0,005;0,075064;0,0525;0,053846925;0,058846925
Romania;Bucharest;44,4268;26,1025;0,071;0,065;0,0293;0,769;0,0045;0,16;0,005;0,119599;0,0988;0,09946515;0,10446515
Slovakia;Bratislava;48,1486;17,1077;0,056;0,031;0,016;0,769;0,0045;0,24;0,005;0,074064;0,0515;0,0548558;0,0598558
Slovenia;Ljubljana;46,0569;14,5058;0,059;0,031;0,016;0,769;0,0045;0,22;0,005;0,076371;0,0515;0,05646045;0,06146045
Spain;Madrid;40,4168;-3,7038;0,059;0,033;0,0213;0,769;0;0,25;0,005;0,078371;0,0543;0,0576657;0,0626657
Sweden;Stockholm;59,3293;18,0686;0,056;0,03;0;0,769;0,0144;0,206;0,005;0,073064;0,0444;0,05226828;0,05726828
United Kingdom;London;51,5074;-0,1278;0,054;0,041;0,008;0,769;0,0045;0,25;0,005;0,082526;0,0535;0,05920545;0,06420545
