City,ILR,ILR_ref_for_city,PAC_MW,PDC_MWp,AC_energy_MWh,AC_energy_MWh_ILR_1_0,AC_energy_delta_MWh,DC_energy_MWh,clipping_energy_MWh,energy_increase_percentage,energy_loss_to_inverter
Amsterdam,1.0,1.0,50.05,50.09,51257.130827064924,51257.130827064924,0.0,52270.575446032715,-2.6048249517964153,0.0,-0.005082136456961915
Amsterdam,1.05,1.0,50.05,52.46,53671.92171103596,51257.130827064924,2414.7908839710362,54736.16862744933,-17.527736431584152,4.711131592828002,-0.0326678490486359
Amsterdam,1.1,1.0,50.05,54.82,56050.94591930377,51257.130827064924,4793.815092238845,57201.761808866,-70.12687329100255,9.352484259044017,-0.1252694663744784
Amsterdam,1.14,1.0,50.05,57.18,58372.2811322392,51257.130827064924,7115.150305174277,59667.354990282605,-180.60185158800905,13.881288691674712,-0.31035683077126697
Amsterdam,1.19,1.0,50.05,59.54,60626.977350059075,51257.130827064924,9369.84652299415,62132.94817169926,-358.21949551409676,18.280083905997056,-0.5943701318328776
Amsterdam,1.24,1.0,50.05,61.91,62811.11068357982,51257.130827064924,11553.979856514896,64598.54135311589,-606.4564544810042,22.541214598016737,-0.9749374254978319
Amsterdam,1.28,1.0,50.05,64.27,64929.78427998113,51257.130827064924,13672.653452916209,67064.13453453254,-919.5960154940869,26.674636742829037,-1.436640073130796
Amsterdam,1.33,1.0,50.05,66.63,66990.78310500372,51257.130827064924,15733.652277938796,69529.72771594915,-1290.0740842539603,30.69553840425081,-1.9635618907042938
Amsterdam,1.38,1.0,50.05,69.0,68994.88998409513,51257.130827064924,17737.75915703021,71995.32089736579,-1717.4934122925672,34.60544683407108,-2.5528535582668583
Amsterdam,1.43,1.0,50.05,71.36,70942.85783862443,51257.130827064924,19685.72701155951,74460.91407878246,-2200.992923244108,38.40583094277489,-3.2018231189297532
Amsterdam,1.47,1.0,50.05,73.72,72833.56037815644,51257.130827064924,21576.429551091518,76926.50726019911,-2741.7591995896655,42.094493396221615,-3.9116689163183644
Amsterdam,1.52,1.0,50.05,76.08,74668.28180726348,51257.130827064924,23411.15098019856,79392.10044161571,-3338.705909187185,45.67393961083156,-4.6806753960768015
