City,experiment,anchor,ILR,Initial_invest,NPV,IRR,npv_over_I
Madrid,real_base_case,—,1.28,34570230.44035987,10859925.11062371,0.09483706388711655,0.3141409522669835
Budapest,real_base_case,—,1.52,34725550.14729374,5343852.928073581,0.10065089488147438,0.15388821502918776
Berlin,real_base_case,—,1.47,42690346.04519774,-5816060.126904362,0.032232340559192885,-0.13623829895280537
Helsinki,real_base_case,—,1.38,40056101.98016721,-10228699.03204239,0.029546237756197025,-0.25535932171100617
Madrid,irradiance_fixed_Madrid_DR_variable,Madrid,1.28,34570230.44035987,10859925.11062371,0.09483706388711655,0.3141409522669835
Budapest,irradiance_fixed_Madrid_DR_variable,Madrid,1.52,34725550.14729374,14847472.309841726,0.1310417390920795,0.4275662227628907
Berlin,irradiance_fixed_Madrid_DR_variable,Madrid,1.47,42690346.04519774,11217478.072925566,0.07085365534675026,0.26276381224572964
Helsinki,irradiance_fixed_Madrid_DR_variable,Madrid,1.38,40056101.98016721,9814288.175337024,0.08313917942945315,0.24501356073529887
Madrid,DR_fixed_Madrid_irradiance_variable,Madrid,1.28,34570230.44035987,10859925.11062371,0.09483706388711655,0.3141409522669835
Budapest,DR_fixed_Madrid_irradiance_variable,Madrid,1.52,34725550.14729374,12982856.28455866,0.10065089488147438,0.37387042766752104
Berlin,DR_fixed_Madrid_irradiance_variable,Madrid,1.47,42690346.04519774,-11252877.885911936,0.032232340559192885,-0.2635930351559607
Helsinki,DR_fixed_Madrid_irradiance_variable,Madrid,1.38,40056101.98016721,-11403341.580449011,0.029546237756197025,-0.2846842557494759
