City,ILR,discount_rate,Initial_invest,NPV,IRR,npv_over_I,ppa_eur_mwh,module_factor,module_reduction_pct
Amsterdam,1.0,0.0663,30045000.0,-16888579.71544633,-0.008251310633008324,-0.5621094929421312,35,1.0,0.0
Amsterdam,1.05,0.0663,30933750.0,-17146523.590654217,-0.006921942267151482,-0.5542982532235573,35,1.0,0.0
Amsterdam,1.1,0.0663,31818750.0,-17400109.286730405,-0.005667941886306149,-0.5468508123898772,35,1.0,0.0
Amsterdam,1.14,0.0663,32703750.0,-17653991.335146304,-0.004495066846121776,-0.5398155054128748,35,1.0,0.0
Amsterdam,1.19,0.0663,33588750.0,-17909259.9772955,-0.003400999982913766,-0.533192213979249,35,1.0,0.0
Amsterdam,1.24,0.0663,34477500.0,-18173045.549746197,-0.002402956977439419,-0.5270987034949227,35,1.0,0.0
Amsterdam,1.28,0.0663,35362500.0,-18441377.35227201,-0.0014921933614236993,-0.521495294514585,35,1.0,0.0
Amsterdam,1.33,0.0663,36247500.0,-18726337.16675117,-0.0007059524704214892,-0.516624240754567,35,1.0,0.0
Amsterdam,1.38,0.0663,37136250.0,-19034331.036642503,-5.293894247271336e-05,-0.5125539341382747,35,1.0,0.0
Amsterdam,1.43,0.0663,38021250.0,-19357778.086530592,0.0004934981382236359,-0.5091305016676356,35,1.0,0.0
Amsterdam,1.47,0.0663,38906250.0,-19702063.281506766,0.0009276025179405512,-0.5063984136612181,35,1.0,0.0
Amsterdam,1.52,0.0663,39791250.0,-20065257.63461557,0.0012655326629922303,-0.5042630637292261,35,1.0,0.0
Amsterdam,1.57,0.0663,40680000.0,-20449927.798443973,0.001511541601038724,-0.5027022565989178,35,1.0,0.0
Amsterdam,1.61,0.0663,41565000.0,-20846603.89319007,0.001693688586996256,-0.5015422565425255,35,1.0,0.0
Amsterdam,1.66,0.0663,42450000.0,-21259870.19460251,0.0018061472358645858,-0.5008214415689638,35,1.0,0.0
Amsterdam,1.71,0.0663,43338750.0,-21694403.697023824,0.0018431135507823715,-0.5005775131267935,35,1.0,0.0
Amsterdam,1.76,0.0663,44223750.0,-22140877.771384627,0.0018291409436019812,-0.5006558189069138,35,1.0,0.0
Amsterdam,1.8,0.0663,45108750.0,-22603857.126647085,0.001757768076231292,-0.5010969518474151,35,1.0,0.0
Amsterdam,1.85,0.0663,45993750.0,-23084168.791281372,0.0016293620008751564,-0.5018979489883163,35,1.0,0.0
Amsterdam,1.9,0.0663,46882500.0,-23585419.977166895,0.0014411473683830778,-0.5030751341580951,35,1.0,0.0
Amsterdam,1.95,0.0663,47767500.0,-24096757.94774029,0.0012197921407415269,-0.5044592651434614,35,1.0,0.0
Amsterdam,1.99,0.0663,48652500.0,-24622841.21762935,0.0009578182184939443,-0.5060961146421942,35,1.0,0.0
Amsterdam,2.04,0.0663,49541250.0,-25167944.025491055,0.0006494885851795473,-0.5080199636765534,35,1.0,0.0
Amsterdam,2.09,0.0663,50426250.0,-25721171.659041416,0.0003194308616096819,-0.5100750434355403,35,1.0,0.0
Amsterdam,2.13,0.0663,51311250.0,-26286624.124239996,-3.8336979442554764e-05,-0.5122974810444103,35,1.0,0.0
Amsterdam,2.18,0.0663,52196250.0,-26863963.683741897,-0.0004216385703599279,-0.5146722931961951,35,1.0,0.0
Amsterdam,2.23,0.0663,53085000.0,-27458274.994304832,-0.0008390615803050006,-0.5172511066083608,35,1.0,0.0
Amsterdam,2.28,0.0663,53970000.0,-28059583.890275404,-0.0012709568413495909,-0.5199107632068817,35,1.0,0.0
Amsterdam,2.32,0.0663,54855000.0,-28671490.173192743,-0.001721801240850862,-0.5226777900499999,35,1.0,0.0
Amsterdam,2.37,0.0663,55743750.0,-29298183.611144353,-0.0021974783675817733,-0.5255868794464734,35,1.0,0.0
Amsterdam,2.42,0.0663,56628750.0,-29930312.9445695,-0.002681466026141166,-0.5285356456670772,35,1.0,0.0
Amsterdam,2.46,0.0663,57513750.0,-30571531.57380815,-0.0031784181774960896,-0.5315516997901919,35,1.0,0.0
Amsterdam,2.51,0.0663,58398750.0,-31221622.832261194,-0.0036873749036676617,-0.5346282725616763,35,1.0,0.0
Amsterdam,2.56,0.0663,59287500.0,-31884877.740162946,-0.004214416644023777,-0.5378010160685296,35,1.0,0.0
Amsterdam,2.61,0.0663,60172500.0,-32551858.71692146,-0.00474404200005174,-0.5409756735538902,35,1.0,0.0
Amsterdam,2.65,0.0663,61057500.0,-33227332.730254643,-0.0052838604448237625,-0.5441973996684214,35,1.0,0.0
Amsterdam,2.7,0.0663,61946250.0,-33915543.87155209,-0.0058396323025966534,-0.5474995479395781,35,1.0,0.0
Amsterdam,2.75,0.0663,62831250.0,-34607016.03242257,-0.006396504296094618,-0.55079305333608,35,1.0,0.0
Amsterdam,2.79,0.0663,63716250.0,-35306069.62934692,-0.006960641202855999,-0.554114054567664,35,1.0,0.0
Amsterdam,2.84,0.0663,64605000.0,-36017222.81497318,-0.0075383786712086565,-0.5574989987612906,35,1.0,0.0
Athens,1.0,0.0971,30045000.0,-10848959.875710359,0.04631767860286429,-0.36109036031653713,35,1.0,0.0
Athens,1.05,0.0971,30933750.0,-10827274.80273476,0.04803208636473055,-0.350014944930206,35,1.0,0.0
Athens,1.1,0.0971,31818750.0,-10801653.902247552,0.04965113684532474,-0.33947448916904505,35,1.0,0.0
Athens,1.14,0.0971,32703750.0,-10779657.36538069,0.05115479984724747,-0.32961533051655206,35,1.0,0.0
Athens,1.19,0.0971,33588750.0,-10775701.193978738,0.05248875346006043,-0.32081280768051024,35,1.0,0.0
Athens,1.24,0.0971,34477500.0,-10811732.241257433,0.053577637172677495,-0.3135880571751848,35,1.0,0.0
Athens,1.28,0.0971,35362500.0,-10897454.326757606,0.05439153297874477,-0.3081641379076029,35,1.0,0.0
Athens,1.33,0.0971,36247500.0,-11043450.75295607,0.05491435692802482,-0.30466792890422983,35,1.0,0.0
Athens,1.38,0.0971,37136250.0,-11246066.258208603,0.05518794686830941,-0.30283257620811477,35,1.0,0.0
