City,ILR,DC_Nominal_Power_MW,ModuleCost,MountingCost,InverterCost,AccessCost,HV_ConnectionSubstationCost,OMCost,TaxesInsuranceCost,TotalCost,ratio_NominalPower_TotalCost,Incremental_Cost,Incremental_Cost_Percentage
Amsterdam,1.0,50.09,12522500.0,9620422.380349772,1251250.0,5005000.0,5005000.0,359451.8978441644,221429.2238034977,33404172.38034977,666883.058102411,,
Amsterdam,1.05,52.46,13115000.0,10075611.061552187,1251250.0,5005000.0,5005000.0,375549.6541009484,231906.1106155219,34451861.06155219,656726.2878679411,1047688.6812024191,0.031364006546042406
Amsterdam,1.1,54.82,13705000.0,10528879.115407756,1251250.0,5005000.0,5005000.0,391579.4873355518,242338.79115407757,35495129.11540776,647485.0258191857,1043268.0538555682,0.030281907035200523
Amsterdam,1.14,57.18,14295000.0,10982147.169263326,1251250.0,5005000.0,5005000.0,407609.32057015516,252771.47169263326,36538397.169263326,639006.5961745947,1043268.0538555682,0.02939186530251852
Amsterdam,1.19,59.54,14885000.0,11435415.223118894,1251250.0,5005000.0,5005000.0,423639.1538047587,263204.15223118896,37581665.223118894,631200.289269716,1043268.0538555682,0.028552649669405357
Amsterdam,1.24,61.91,15477500.0,11890603.90432131,1251250.0,5005000.0,5005000.0,439736.91006154264,273681.0390432131,38629353.90432131,623959.8433907498,1047688.6812024191,0.027877654568587838
Amsterdam,1.28,64.27,16067499.999999998,12343871.958176877,1251250.0,5005000.0,5005000.0,455766.7432961459,284113.71958176873,39672621.95817687,617280.5657099249,1043268.0538555607,0.027007131841748314
Amsterdam,1.33,66.63,16657499.999999998,12797140.012032446,1251250.0,5005000.0,5005000.0,471796.5765307493,294546.4001203244,40715890.01203244,611074.4411231044,1043268.0538555682,0.026296927260199436
Amsterdam,1.38,69.0,17250000.0,13252328.693234863,1251250.0,5005000.0,5005000.0,487894.33278753335,305023.2869323486,41763578.69323486,605269.2564236936,1047688.6812024191,0.02573169052408787
Amsterdam,1.43,71.36,17840000.0,13705596.74709043,1251250.0,5005000.0,5005000.0,503924.16602213675,315455.9674709043,42806846.74709043,599871.7313213345,1043268.0538555682,0.024980331822583097
Amsterdam,1.47,73.72,18430000.0,14158864.800946001,1251250.0,5005000.0,5005000.0,519953.99925674015,325888.64800946,43850114.800946,594819.7884013293,1043268.0538555682,0.02437152308880305
Amsterdam,1.52,76.08,19020000.0,14612132.854801571,1251250.0,5005000.0,5005000.0,535983.8324913437,336321.32854801574,44893382.85480157,590081.2678075917,1043268.0538555756,0.023791683524465226
Amsterdam,1.57,78.45,19612500.0,15067321.536003985,1251250.0,5005000.0,5005000.0,552081.5887481276,346798.21536003985,45941071.536003985,585609.5798088462,1047688.6812024117,0.023337262967928825
Amsterdam,1.61,80.81,20202500.0,15520589.589859555,1251250.0,5005000.0,5005000.0,568111.421982731,357230.8958985955,46984339.58985955,581417.3937614101,1043268.0538555682,0.02270883153080049
Amsterdam,1.66,83.17,20792500.0,15973857.643715123,1251250.0,5005000.0,5005000.0,584141.2552173345,367663.57643715123,48027607.64371512,577463.1194386813,1043268.0538555682,0.022204591209806696
Amsterdam,1.71,85.54,21385000.0,16429046.324917538,1251250.0,5005000.0,5005000.0,600239.0114741185,378140.4632491754,49075296.32491754,573711.6708547759,1047688.6812024191,0.0218143008282762
Amsterdam,1.76,87.9,21975000.0,16882314.378773108,1251250.0,5005000.0,5005000.0,616268.8447087219,388573.14378773107,50118564.37877311,570177.069155553,1043268.0538555682,0.021258517665350463
Amsterdam,1.8,90.26,22565000.0,17335582.432628676,1251250.0,5005000.0,5005000.0,632298.6779433253,399005.8243262868,51161832.43262868,566827.3037073861,1043268.0538555682,0.020816000354100868
Amsterdam,1.85,92.62,23155000.0,17788850.486484244,1251250.0,5005000.0,5005000.0,648328.5111779287,409438.50486484246,52205100.486484244,563648.2453733992,1043268.0538555682,0.020391530253131035
Amsterdam,1.9,94.99,23747500.0,18244039.16768666,1251250.0,5005000.0,5005000.0,664426.2674347125,419915.39167686657,53252789.167686656,560614.687521704,1047688.6812024117,0.020068703468421736
Amsterdam,1.95,97.35,24337500.0,18697307.22154223,1251250.0,5005000.0,5005000.0,680456.1006693161,430348.07221542235,54296057.22154223,557740.7007862582,1043268.0538555756,0.01959086219071924
Amsterdam,1.99,99.71,24927500.0,19150575.2753978,1251250.0,5005000.0,5005000.0,696485.9339039195,440780.752753978,55339325.2753978,555002.7607601825,1043268.0538555682,0.01921443484558666
Amsterdam,2.04,102.08,25520000.0,19605763.956600215,1251250.0,5005000.0,5005000.0,712583.6901607035,451257.6395660022,56387013.95660022,552380.6226155978,1047688.6812024191,0.018932082673371337
Amsterdam,2.09,104.44,26110000.0,20059032.010455783,1251250.0,5005000.0,5005000.0,728613.5233953069,461690.3201045579,57430282.01045579,549887.801708692,1043268.0538555682,0.01850192057799953
Amsterdam,2.13,106.8,26700000.0,20512300.06431135,1251250.0,5005000.0,5005000.0,744643.3566299103,472123.00064311357,58473550.064311355,547505.1504149004,1043268.0538555682,0.0181658180551095
Amsterdam,2.18,109.16,27290000.0,20965568.11816692,1251250.0,5005000.0,5005000.0,760673.1898645137,482555.68118166924,59516818.11816692,545225.523251804,1043268.0538555682,0.017841708818912887
Amsterdam,2.23,111.53,27882500.0,21420756.799369335,1251250.0,5005000.0,5005000.0,776770.9461212977,493032.56799369334,60564506.799369335,543033.3255569743,1047688.6812024117,0.017603237443276812
Amsterdam,2.28,113.89,28472500.0,21874024.853224907,1251250.0,5005000.0,5005000.0,792800.7793559011,503465.24853224907,61607774.8532249,540941.0383108692,1043268.0538555682,0.017225733502818384
Amsterdam,2.32,116.25,29062500.0,22327292.907080475,1251250.0,5005000.0,5005000.0,808830.6125905045,513897.92907080473,62651042.90708047,538933.7024264986,1043268.0538555682,0.016934032374015494
Amsterdam,2.37,118.62,29655000.0,22782481.58828289,1251250.0,5005000.0,5005000.0,824928.3688472884,524374.8158828289,63698731.58828289,536998.2430305419,1047688.6812024191,0.016722605603808952
Amsterdam,2.42,120.98,30245000.0,23235749.64213846,1251250.0,5005000.0,5005000.0,840958.2020818919,534807.4964213846,64741999.64213846,535146.3022163867,1043268.0538555682,0.01637816056681846
Amsterdam,2.46,123.34,30835000.0,23689017.695994027,1251250.0,5005000.0,5005000.0,856988.0353164952,545240.1769599402,65785267.69599403,533365.2318468788,1043268.0538555682,0.016114238973498417
Amsterdam,2.51,125.7,31425000.0,24142285.7498496,1251250.0,5005000.0,5005000.0,873017.8685510989,555672.8574984961,66828535.7498496,531651.0401738234,1043268.0538555756,0.015858688280736527
