city,ILR,E_AC_MWh,P_AC_nom_MVA
Madrid,1.0,80908.49173260348,50.05
Madrid,1.05,84725.2505418314,50.05
Madrid,1.1,88539.05378191221,50.05
Amsterdam,1.0,51259.344982714676,50.05
Amsterdam,1.05,53688.05473254059,50.05
Amsterdam,1.1,56115.91444009826,50.05
Amsterdam,1.14,58542.92240846435,50.05
Amsterdam,1.19,60965.945200851515,50.05
Amsterdam,1.24,63377.865467955016,50.05
Amsterdam,1.28,65763.34374265716,50.05
Amsterdam,1.33,68101.03184477867,50.05
Amsterdam,1.38,70385.89409856616,50.05
Amsterdam,1.43,72612.9669553108,50.05
Amsterdam,1.47,74780.14939624295,50.05
Amsterdam,1.52,76892.98547676539,50.05
Amsterdam,1.57,78957.47422286091,50.05
Amsterdam,1.61,80974.08122827565,50.05
Amsterdam,1.66,82943.00671638345,50.05
Amsterdam,1.71,84864.18443025861,50.05
Amsterdam,1.76,86737.66825013347,50.05
Amsterdam,1.8,88563.71463581632,50.05
Amsterdam,1.85,90339.94664450515,50.05
Amsterdam,1.9,92069.37265553777,50.05
Amsterdam,1.95,93756.43269829755,50.05
Amsterdam,1.99,95401.1136279664,50.05
Amsterdam,2.04,97004.5067381287,50.05
Amsterdam,2.09,98571.17269958562,50.05
Amsterdam,2.13,100102.70356396191,50.05
Amsterdam,2.18,101600.0700141055,50.05
Amsterdam,2.23,103062.03414026611,50.05
Amsterdam,2.28,104490.51089212856,50.05
Amsterdam,2.32,105888.52994691253,50.05
Amsterdam,2.37,107257.42537305193,50.05
Amsterdam,2.42,108597.32184068677,50.05
Amsterdam,2.46,109911.09498000164,50.05
Amsterdam,2.51,111199.36750730174,50.05
Amsterdam,2.56,112463.18248464022,50.05
Amsterdam,2.61,113702.91267537461,50.05
Amsterdam,2.65,114918.23323224676,50.05
Amsterdam,2.7,116110.32209438333,50.05
Amsterdam,2.75,117279.66275697082,50.05
Amsterdam,2.79,118427.21379501135,50.05
Amsterdam,2.84,119553.3654747052,50.05
Athens,1.0,78728.6257062137,50.05
Athens,1.05,82442.19915737274,50.05
